Country,Job Role/Specialty,Total HC,Jan 2020 Remainder Gap,Feb 2020 Gap,Mar 2020 Gap,Apr 2020 Gap,May 2020 Gap,Jun 2020 Gap,Shortfall,Status
Argentina,Business Operations Professional-Delivery Center,1,0,0,0,0,0,0,0,GAP
Argentina,Business Operations Professional-Local,0,0,0,0,0,0,0,0,GAP
Argentina,Business Operations Professional-Services,0,0,0,0,0,0,0,0,GAP
Argentina,Business Operations Professional-Shared Services,0,0,0,0,0,0,0,0,GAP
Argentina,Business Sales & Delivery Executive-ADM Innovation,1,0,0,0,0,0,0,0,GAP
Argentina,Business Transformation Consultant-Business Intelligence,1,0,0,0,0,0,0,0,GAP
Argentina,Business Transformation Consultant-Cognitive Computing,1,0,0,0,0,0,0,0,GAP
Argentina,Business Transformation Consultant-IoT & Edge Computing,1,0,0,1,1,1,1,4,GLUT
Argentina,Business Transformation Consultant-Process Management (BPM),2,0,0,0,0,0,1,1,GLUT
Argentina,Business Transformation Consultant-Talent & Transformation,1,0,0,0,0,0,0,0,GAP
Argentina,Business Transformation Consultant-Test Services,1,0,0,0,0,0,0,0,GAP
Argentina,Compliance Audit & Risk Assurer-Audit & Peer Review,0,0,0,0,0,0,0,0,GAP
Argentina,Data Consultant-Data Governance,1,0,0,0,0,0,0,0,GAP
Argentina,Data Engineer-Business Intelligence,7,0,-2,-2,1,1,1,-1,GAP
Argentina,Data Engineer-Data Integration,7,0,-2,-2,-2,-2,-2,-10,GAP
Argentina,Data Engineer-Enterprise Content Management,,-1,-1,-1,-1,-1,-1,-6,GAP
Argentina,Designer-Mobile UX,1,0,0,0,0,0,0,0,GAP
Argentina,Designer-UX Design,2,1,-2,0,0,0,0,-1,GAP
Argentina,Executive Administrative Assistant-Local,0,0,0,0,0,0,0,0,GAP
Argentina,Experience Architect-UX,1,0,0,0,0,0,0,0,GAP
Argentina,Infrastructure Specialist-Cloud Application Operations,,0,0,-1,-1,-1,-1,-4,GAP
Argentina,Measurements & Reporting Analyst-Delivery Excellence Tools,2,0,0,0,0,0,0,0,GAP
Argentina,Measurements & Reporting Analyst-Learning & Knowledge (L&K),0,0,0,0,0,0,0,0,GAP
Argentina,Package Consultant-CRM Applications,1,0,0,0,0,0,0,0,GAP
Argentina,Package Consultant-Industry Packages,2,0,0,0,0,0,0,0,GAP
Argentina,Package Consultant-SAP BW Analytics,1,0,0,0,0,0,0,0,GAP
Argentina,Package Consultant-SAP FIN CO,1,0,0,0,0,0,0,0,GAP
Argentina,Package Consultant-SAP FIN FI,6,0,0,0,0,0,1,1,GLUT
Argentina,Package Consultant-SAP HANA Basis,1,0,0,0,0,0,0,0,GAP
Argentina,Package Consultant-SAP HANA FIN FI,2,0,0,0,0,0,0,0,GAP
Argentina,Package Consultant-SAP HANA Security,2,0,0,0,2,2,2,6,GLUT
Argentina,Package Consultant-SAP HANA Services,,0,-1,-1,-1,-1,-1,-5,GAP
Argentina,Package Consultant-SAP HR,3,0,0,0,0,0,0,0,GAP
Argentina,Package Consultant-SAP SCM MM,3,0,-1,0,0,0,0,-1,GAP
Argentina,Package Consultant-SAP SCM PP,1,0,0,0,0,0,0,0,GAP
Argentina,Package Consultant-SAP SCM SD,5,0,0,0,0,0,0,0,GAP
Argentina,Package Consultant-Salesforce,,-1,-4,-6,-6,-6,-6,-29,GAP
Argentina,Package Specialist-SAP Basis,3,0,-1,-1,-1,-1,0,-4,GAP
Argentina,Package Specialist-SAP CRM,1,0,0,0,0,0,0,0,GAP
Argentina,Package Specialist-SAP FIN CO,2,-1,-1,-2,-2,-2,-2,-10,GAP
Argentina,Package Specialist-SAP FIN FI,15,0,-4,-6,-6,-6,-6,-28,GAP
Argentina,Package Specialist-SAP FIN PS,2,0,0,0,0,0,0,0,GAP
Argentina,Package Specialist-SAP HANA Analytics,2,0,0,0,0,0,0,0,GAP
Argentina,Package Specialist-SAP HANA FIN FI,2,0,0,0,0,0,0,0,GAP
Argentina,Package Specialist-SAP HANA Sales,6,0,0,0,0,0,0,0,GAP
Argentina,Package Specialist-SAP HR,11,0,-1,-1,-1,-1,-1,-5,GAP
Argentina,Package Specialist-SAP SCM MM,19,0,-1,-1,-1,-1,2,-2,GAP
Argentina,Package Specialist-SAP SCM PLM,1,0,0,0,0,0,0,0,GAP
Argentina,Package Specialist-SAP SCM PM,2,0,0,-1,-1,-1,-1,-4,GAP
Argentina,Package Specialist-SAP SCM PP,2,0,0,0,0,0,0,0,GAP
Argentina,Package Specialist-SAP SCM QM,1,0,0,0,0,0,0,0,GAP
Argentina,Package Specialist-SAP SCM SD,10,0,-5,-7,-6,-6,-6,-30,GAP
Argentina,Package Specialist-Siebel,3,0,0,0,1,1,1,3,GLUT
Argentina,Package Specialist-Siebel Integration,1,0,0,0,0,0,0,0,GAP
Argentina,Program Manager-Workforce Management,0,0,0,0,0,0,0,0,GAP
Argentina,Project Administrator-Project Support,4,0,0,0,0,0,0,0,GAP
Argentina,Project Manager-ADM,30,0,0,1,1,1,3,6,GLUT
Argentina,Project Manager-Client Service Center Administration,1,0,0,0,0,0,0,0,GAP
Argentina,Project Manager-Cognitive & Analytics,3,0,0,0,0,0,1,1,GLUT
Argentina,Project Manager-Complex Programs.Cognitive Process Re-engineering,1,0,0,0,0,0,0,0,GAP
Argentina,Project Manager-IBM Cloud Modernization,,0,-3,-3,-3,-3,-3,-15,GAP
Argentina,Project Manager-IBM Cloud Solutions,1,0,0,0,0,0,0,0,GAP
Argentina,Project Manager-IoT & Industry 4.0,1,0,0,0,1,1,1,3,GLUT
Argentina,Project Manager-Office Management,7,0,0,0,0,0,1,1,GLUT
Argentina,Project Manager-SAP,3,0,0,0,0,0,0,0,GAP
Argentina,Project Manager-SAP ADM,3,0,0,0,0,0,0,0,GAP
Argentina,Project Manager-SAP HANA,2,0,0,0,0,0,0,0,GAP
Argentina,Project Manager-Salesforce,,0,-2,-2,-2,-2,-2,-10,GAP
Argentina,Project Manager-Test Services,7,0,0,0,0,0,0,0,GAP
Argentina,Project Manager-iX,6,0,-1,-1,0,0,0,-2,GAP
Argentina,Recruitment Professional-Recruiting,0,0,0,0,0,0,0,0,GAP
Argentina,Solution Representative-SAP,7,0,0,0,0,0,0,0,GAP
Argentina,Technical Support Professional-AMS,15,0,0,0,0,0,0,0,GAP
Argentina,Test Specialist-Automation,5,0,0,0,0,0,0,0,GAP
Argentina,Test Specialist-Cloud Applications,6,0,0,0,0,0,0,0,GAP
Argentina,Test Specialist-Custom Applications,40,1,-2,-2,-2,0,2,-3,GAP
Argentina,Test Specialist-Data,20,0,0,0,0,0,0,0,GAP
Argentina,Test Specialist-Digital,19,0,0,0,0,0,1,1,GLUT
Argentina,Test Specialist-Middleware,4,0,0,0,0,0,0,0,GAP
Argentina,Test Specialist-Packages,,0,-6,-6,-6,-6,-6,-30,GAP
Argentina,Test Specialist-Test Management,8,1,1,1,1,1,1,6,GLUT
Argentina,Test Specialist-Test Quality,23,1,1,1,1,1,1,6,GLUT
Argentina,Workforce Management Professional-Performance,0,0,0,0,0,0,0,0,GAP
Argentina,Workforce Management Professional-Staffing,1,1,1,1,1,1,1,6,GLUT
Austria,Application Architect-Industry Packages,,0,0,0,-1,-1,-1,-3,GAP
Austria,Application Architect-Java & Web Technologies,1,0,0,0,0,0,0,0,GAP
Austria,Application Consultant-Healthcare Applications,3,0,0,0,3,3,3,9,GLUT
Austria,Application Developer-Blockchain,1,0,0,0,0,0,0,0,GAP
Austria,Application Developer-DevOps,1,0,-1,-1,0,0,0,-2,GAP
Austria,Application Developer-EAI,,0,0,0,-1,-1,-1,-3,GAP
Austria,Application Developer-Experience Back End,1,0,0,-1,-1,-1,-1,-4,GAP
Austria,Application Developer-Experience Front End,4,0,0,0,1,1,1,3,GLUT
Austria,Application Developer-Healthcare Applications,1,0,0,0,1,1,1,3,GLUT
Austria,Application Developer-Java & Web Technologies,14,1,0,0,-2,-2,-2,-5,GAP
Austria,Application Developer-Java Full Stack,0,-1,-1,0,0,0,0,-2,GAP
Austria,Application Developer-Process Management (BPM),3,0,0,0,1,1,1,3,GLUT
Austria,Application Developer-SAP NextGen UX & Mobile,5,0,0,0,1,1,2,4,GLUT
Austria,Application Developer-Web Content Management,1,0,0,0,1,1,1,3,GLUT
Austria,Application Developer-eCommerce,3,0,0,0,0,0,0,0,GAP
Austria,Business Analyst-ADM,8,0,0,0,2,2,2,6,GLUT
Austria,Data Engineer-Advanced Analytics,0,0,0,0,0,0,0,0,GAP
Austria,Data Engineer-Business Intelligence,,0,-1,-1,-1,-1,-1,-5,GAP
Austria,Data Scientist-Artificial Intelligence,1,0,0,0,1,1,1,3,GLUT
Austria,Executive Administrative Assistant-Human Resources,0,0,0,0,0,0,0,0,GAP
Austria,Experience Consultant-Research,1,0,0,0,0,0,0,0,GAP
Austria,Functional Manager-Global Delivery,1,0,0,0,0,0,0,0,GAP
Austria,Package Specialist-SAP BW HANA Analytics,1,0,0,0,0,0,0,0,GAP
Austria,Package Specialist-SAP SCM SD,1,0,0,0,0,0,0,0,GAP
Austria,Project Manager-ADM,15,2,0,0,3,4,4,13,GLUT
Austria,Project Manager-Office Management,,0,-1,-1,-1,-1,-1,-5,GAP
Austria,Technical Consultant-IoT & Edge Computing,0,0,0,0,0,0,0,0,GAP
Austria,Test Specialist-Automation,0,0,0,0,0,0,0,0,GAP
Austria,Test Specialist-Test Management,3,0,-1,-1,1,1,1,1,GLUT
Brazil,"Administrator-GTS Skills, Learning & Knowledge",0,0,0,0,0,0,0,0,GAP
Brazil,Application Architect-AIX/UNIX/Linux,2,0,0,1,1,1,1,4,GLUT
Brazil,Application Architect-AWS Cloud Migration,2,1,1,1,1,1,1,6,GLUT
Brazil,Application Architect-AWS Cloud Modernization,1,0,0,1,1,1,1,4,GLUT
Brazil,Application Architect-Azure Cloud Modernization,2,0,1,1,1,1,1,5,GLUT
Brazil,Application Architect-Business Intelligence,9,1,1,1,1,2,2,8,GLUT
Brazil,Application Architect-Cloud Applications,5,0,0,0,0,0,0,0,GAP
Brazil,Application Architect-Cloud Microservices,1,0,-2,-2,0,0,0,-4,GAP
Brazil,Application Architect-Custom Development,6,1,1,1,1,1,1,6,GLUT
Brazil,Application Architect-Data Platforms,3,0,-1,-1,-2,-1,-1,-6,GAP
Brazil,Application Architect-EAI,1,0,0,0,0,0,0,0,GAP
Brazil,Application Architect-Enterprise Content Management,1,0,0,1,1,1,1,4,GLUT
Brazil,Application Architect-Google Cloud Microservices,1,0,0,0,0,0,0,0,GAP
Brazil,Application Architect-IBM Cloud Microservices,5,1,1,1,1,1,2,7,GLUT
Brazil,Application Architect-IBM Cloud Modernization,3,0,0,0,1,1,1,3,GLUT
Brazil,Application Architect-Java & Web Technologies,16,0,0,0,0,0,1,1,GLUT
Brazil,Application Architect-Microsoft Analytics & Cloud,0,0,0,0,0,0,0,0,GAP
Brazil,Application Architect-Mobile,12,0,2,2,2,4,4,14,GLUT
Brazil,Application Architect-Mobile CIC,1,0,0,0,0,0,0,0,GAP
Brazil,Application Architect-Process Management (BPM),2,0,0,0,0,0,0,0,GAP
Brazil,Application Architect-Red Hat Cloud Microservices,1,0,0,0,0,0,0,0,GAP
Brazil,Application Architect-Red Hat Cloud Modernization,6,0,0,0,1,2,2,5,GLUT
Brazil,Application Architect-SAP Basis,4,1,1,1,2,2,2,9,GLUT
Brazil,Application Architect-SAP Enterprise Integration,1,0,0,0,0,0,0,0,GAP
Brazil,Application Architect-SAP HANA Basis,1,0,0,1,1,1,1,4,GLUT
Brazil,Application Architect-SAP NextGen Technical Innovation,1,0,0,0,0,0,1,1,GLUT
Brazil,Application Architect-System i,1,0,0,0,0,0,0,0,GAP
Brazil,Application Architect-Test Services,1,0,0,0,0,0,0,0,GAP
Brazil,Application Architect-zOS,1,0,0,0,0,0,0,0,GAP
Brazil,Application Consultant-Business Functions,6,0,0,0,0,0,0,0,GAP
Brazil,Application Consultant-DevOps,7,2,2,2,3,3,4,16,GLUT
Brazil,Application Consultant-EAI,2,0,0,0,0,0,0,0,GAP
Brazil,Application Consultant-Mobile,2,0,0,0,0,0,0,0,GAP
Brazil,Application Database Administrator-DBMS,50,1,0,0,0,0,0,1,GLUT
Brazil,Application Database Administrator-Oracle Enterprise Applications,0,0,-1,-1,-1,-1,-1,-5,GAP
Brazil,Application Developer-AWS Cloud Microservices,2,0,0,0,0,0,1,1,GLUT
Brazil,Application Developer-AWS Cloud Modernization,6,0,0,0,0,0,0,0,GAP
Brazil,Application Developer-Alibaba Cloud Modernization,1,0,0,0,1,1,1,3,GLUT
Brazil,Application Developer-Azure Cloud Modernization,5,0,0,0,0,0,0,0,GAP
Brazil,Application Developer-Blockchain,6,0,0,1,5,5,5,16,GLUT
Brazil,Application Developer-C#.NET,,0,0,0,-1,-1,-1,-3,GAP
Brazil,Application Developer-Cloud Microservices,2,0,-1,-1,-1,-1,-1,-5,GAP
Brazil,Application Developer-Cloud Modernization,3,0,0,0,0,0,0,0,GAP
Brazil,Application Developer-Cloud User Interface,1,0,0,0,0,0,0,0,GAP
Brazil,Application Developer-Cognitive Application Automation,2,0,-2,-9,-9,-7,-7,-34,GAP
Brazil,Application Developer-Cognitive Process Automation,2,0,0,0,1,1,1,3,GLUT
Brazil,Application Developer-Contact Center,1,0,0,0,0,0,0,0,GAP
Brazil,Application Developer-DBMS,105,4,1,1,7,9,10,32,GLUT
Brazil,Application Developer-DevOps,7,0,0,0,1,1,1,3,GLUT
Brazil,Application Developer-EAI,14,1,1,1,1,0,0,4,GLUT
Brazil,Application Developer-Experience Back End,18,-7,-21,-23,-22,-23,-22,-118,GAP
Brazil,Application Developer-Experience Front End,14,2,0,-3,-4,-3,-3,-11,GAP
Brazil,Application Developer-IBM Cloud Microservices,12,-3,-2,-1,0,0,1,-5,GAP
Brazil,Application Developer-IBM Cloud Migration,1,0,0,0,0,0,0,0,GAP
Brazil,Application Developer-IBM Cloud Modernization,55,1,-3,-3,8,10,11,24,GLUT
Brazil,Application Developer-IBM Cloud User Interface,1,0,0,0,0,0,0,0,GAP
Brazil,Application Developer-IT Service Management,,0,-1,-1,-1,-1,-1,-5,GAP
Brazil,Application Developer-Industry Packages,8,1,1,1,1,1,1,6,GLUT
Brazil,Application Developer-Java & Web Technologies,291,3,-3,-23,-2,17,24,16,GLUT
Brazil,Application Developer-Java Full Stack,27,0,-3,-4,-4,2,2,-7,GAP
Brazil,Application Developer-Maximo,2,0,0,0,0,0,0,0,GAP
Brazil,Application Developer-Microservices,2,0,0,0,0,0,1,1,GLUT
Brazil,Application Developer-Microsoft .NET,93,3,-1,-5,0,1,1,-1,GAP
Brazil,Application Developer-Microsoft Collaboration,5,0,0,0,0,0,0,0,GAP
Brazil,Application Developer-Mobile,47,-2,-15,-16,-13,-12,-11,-69,GAP
Brazil,Application Developer-Mobile Android,5,-2,-3,-5,-5,-4,-4,-23,GAP
Brazil,Application Developer-Mobile CIC,14,0,0,0,2,3,3,8,GLUT
Brazil,Application Developer-Mobile iOS,1,-1,-3,-3,-3,-3,-3,-16,GAP
Brazil,Application Developer-Mobile.iOS,1,0,0,0,0,0,0,0,GAP
Brazil,Application Developer-Open Source,42,2,4,6,5,5,5,27,GLUT
Brazil,Application Developer-Oracle eBS,1,0,0,0,0,1,1,2,GLUT
Brazil,Application Developer-Process Management (BPM),2,0,0,0,0,0,0,0,GAP
Brazil,Application Developer-Process RPA,6,1,1,2,2,2,3,11,GLUT
Brazil,Application Developer-RPA,3,0,0,0,1,1,1,3,GLUT
Brazil,Application Developer-Red Hat Cloud Microservices,1,0,0,0,0,0,0,0,GAP
Brazil,Application Developer-Red Hat Cloud Migration,7,0,0,0,1,1,1,3,GLUT
Brazil,Application Developer-Red Hat Cloud Modernization,40,1,1,1,2,2,2,9,GLUT
Brazil,Application Developer-Red Hat Cloud User Interface,1,0,0,0,0,0,0,0,GAP
Brazil,Application Developer-SAP ABAP,29,-3,-3,-3,3,5,5,4,GLUT
Brazil,Application Developer-SAP Enterprise Integration,4,-1,-2,-2,-2,-1,-1,-9,GAP
Brazil,Application Developer-SAP NextGen UX & Mobile,,0,-1,-1,-1,-1,-1,-5,GAP
Brazil,Application Developer-Salesforce,2,-1,-2,-3,-1,-1,-1,-9,GAP
Brazil,Application Developer-ServiceNow,4,0,-1,-1,-1,-1,-1,-5,GAP
Brazil,Application Developer-Siebel Conversion,6,0,0,0,0,0,0,0,GAP
Brazil,Application Developer-System i,,0,0,-1,-1,-1,-1,-4,GAP
Brazil,Application Developer-Tririga,4,0,0,0,0,0,0,0,GAP
Brazil,Application Developer-Web Content Management,2,0,0,0,0,0,0,0,GAP
Brazil,Application Developer-zOS,164,6,8,9,9,12,28,72,GLUT
Brazil,Business Advisor-Strategic Operations,0,0,0,0,0,0,0,0,GAP
Brazil,Business Advisor-Workforce Management,0,0,0,0,0,0,0,0,GAP
Brazil,Business Analyst-ADM,63,6,4,4,5,9,9,37,GLUT
Brazil,Business Analyst-Business Operations,1,1,1,1,1,1,1,6,GLUT
Brazil,Business Information Management Specialist-Business Operations,0,0,0,0,0,0,0,0,GAP
Brazil,Business Operations Professional-Shared Services,0,0,0,0,0,0,0,0,GAP
Brazil,Business Programs Manager-Business Operations,0,0,0,0,0,0,0,0,GAP
Brazil,Business Sales & Delivery Executive-ADM Innovation,4,0,0,0,0,0,0,0,GAP
Brazil,Business Sales & Delivery Executive-Business Process Automation,1,0,0,0,0,0,0,0,GAP
Brazil,Business Sales & Delivery Executive-Cloud Application Development,0,0,0,0,0,0,0,0,GAP
Brazil,Business Sales & Delivery Executive-Cognitive & Analytics,1,0,0,0,0,0,0,0,GAP
Brazil,Business Sales & Delivery Executive-Digital Strategy & iX,0,0,0,0,0,0,0,0,GAP
Brazil,Business Sales & Delivery Executive-INDUSTRY.Insurance,1,1,1,1,1,1,1,6,GLUT
Brazil,Business Sales & Delivery Executive-Mobile,1,0,0,0,0,0,0,0,GAP
Brazil,Business Sales & Delivery Executive-SAP,1,0,1,1,1,1,1,5,GLUT
Brazil,Business Sales & Delivery Executive-Salesforce,1,0,0,0,1,1,1,3,GLUT
Brazil,Business Transformation Consultant-Blockchain,1,0,0,0,1,1,1,3,GLUT
Brazil,Business Transformation Consultant-Business Intelligence,5,0,-1,-1,2,2,2,4,GLUT
Brazil,Business Transformation Consultant-Graduate Entry,4,1,3,3,3,3,3,16,GLUT
Brazil,Business Transformation Consultant-IT Service Process,2,0,0,0,0,0,0,0,GAP
Brazil,Business Transformation Consultant-IT Transition Consultancy,1,1,1,1,1,1,1,6,GLUT
Brazil,Business Transformation Consultant-IoT & Edge Computing,2,0,0,0,0,0,0,0,GAP
Brazil,Business Transformation Consultant-Process Management (BPM),,-1,-1,-1,-1,-1,-1,-6,GAP
Brazil,Business Transformation Consultant-Test Services,2,0,0,0,0,0,0,0,GAP
Brazil,Compliance Audit & Risk Assurer-Audit & Peer Review,1,0,0,0,0,0,0,0,GAP
Brazil,Data Consultant-Data Governance,3,0,1,1,1,1,1,5,GLUT
Brazil,Data Engineer-Advanced Analytics,7,0,0,1,3,3,3,10,GLUT
Brazil,Data Engineer-Big Data,17,1,-5,-5,-5,-5,-4,-23,GAP
Brazil,Data Engineer-Business Intelligence,93,3,-4,-8,2,3,5,1,GLUT
Brazil,Data Engineer-Data Integration,24,3,1,1,1,1,2,9,GLUT
Brazil,Data Engineer-Data Modeling,0,-1,-2,-2,-2,-2,-2,-11,GAP
Brazil,Data Engineer-Data Warehouse,3,0,0,0,0,0,0,0,GAP
Brazil,Data Engineer-Enterprise Content Management,11,0,0,1,0,0,0,1,GLUT
Brazil,Data Engineer-Machine Learning,,0,0,0,0,0,0,0,GAP
Brazil,Data Engineer-Master Data Management,1,0,0,0,0,0,0,0,GAP
Brazil,Data Scientist-Advanced Analytics,13,-1,-9,-9,-9,-8,-7,-43,GAP
Brazil,Data Scientist-Artificial Intelligence,1,0,0,0,0,0,0,0,GAP
Brazil,Data Specialist-Advanced Analytics,4,0,0,0,1,1,1,3,GLUT
Brazil,Delivery Manager-Workday,4,0,0,0,0,0,1,1,GLUT
Brazil,Designer-Mobile UX,4,-2,-2,-1,-1,-1,-1,-8,GAP
Brazil,Designer-UX Design,18,-1,-1,-2,-2,-2,-2,-10,GAP
Brazil,Executive Administrative Assistant-Local,1,1,1,1,1,1,1,6,GLUT
Brazil,Experience Architect-UX,2,0,0,0,0,0,0,0,GAP
Brazil,Experience Consultant-Marketing Activation,,0,-1,-1,-1,-1,-1,-5,GAP
Brazil,Experience Consultant-UX,1,0,0,0,0,0,0,0,GAP
Brazil,Functional Manager-Delivery Excellence,1,0,0,0,0,0,0,0,GAP
Brazil,Functional Manager-Learning & Knowledge (L&K),0,0,0,0,0,0,0,0,GAP
Brazil,Infrastructure Specialist-Cloud Application Operations,9,0,0,0,0,0,0,0,GAP
Brazil,Infrastructure Specialist-Cloud Platforms,1,0,0,0,0,0,0,0,GAP
Brazil,Infrastructure Specialist-ServiceNow,1,0,0,0,0,0,0,0,GAP
Brazil,Infrastructure Specialist-System Administration,113,-1,-1,-1,-1,-1,0,-5,GAP
Brazil,Integration Architect-Hybrid Integration,2,0,0,0,0,0,0,0,GAP
Brazil,Learning Consultant-Application Training SAP,2,0,0,0,1,1,1,3,GLUT
Brazil,Measurements & Reporting Analyst-Delivery Excellence Tools,5,0,0,0,0,0,0,0,GAP
Brazil,Measurements & Reporting Analyst-Learning & Knowledge (L&K),0,0,0,0,0,0,0,0,GAP
Brazil,Measurements & Reporting Analyst-Shared Services,1,0,0,0,0,0,0,0,GAP
Brazil,Operations Professional-Quality Performance,1,0,0,0,0,0,0,0,GAP
Brazil,Package Consultant-CRM Applications,1,0,0,0,0,0,0,0,GAP
Brazil,Package Consultant-Oracle Cloud CX,1,0,0,0,0,0,0,0,GAP
Brazil,Package Consultant-SAP Ariba,,0,-3,-2,0,0,0,-5,GAP
Brazil,Package Consultant-SAP BW Analytics,1,-1,-1,-1,-1,-1,-1,-6,GAP
Brazil,Package Consultant-SAP BW HANA Analytics,1,0,0,0,0,0,0,0,GAP
Brazil,Package Consultant-SAP EIM,3,0,1,1,2,2,2,8,GLUT
Brazil,Package Consultant-SAP FIN CO,5,1,1,2,5,5,5,19,GLUT
Brazil,Package Consultant-SAP FIN FI,18,-1,-2,0,7,9,9,22,GLUT
Brazil,Package Consultant-SAP FIN PS,,0,-1,-1,-1,0,0,-3,GAP
Brazil,Package Consultant-SAP FIN TR,1,0,0,-1,-1,-1,-1,-4,GAP
Brazil,Package Consultant-SAP GRC,1,0,0,0,0,0,0,0,GAP
Brazil,Package Consultant-SAP HANA Basis,3,1,1,2,2,2,2,10,GLUT
Brazil,Package Consultant-SAP HANA Security,3,0,0,0,1,2,2,5,GLUT
Brazil,Package Consultant-SAP HR,2,0,0,0,1,1,1,3,GLUT
Brazil,Package Consultant-SAP HR Comp & Payroll,1,0,0,0,0,0,0,0,GAP
Brazil,Package Consultant-SAP NextGen Manufacturing,1,0,0,0,1,1,1,3,GLUT
Brazil,Package Consultant-SAP NextGen UX & Mobile,1,0,0,0,1,1,1,3,GLUT
Brazil,Package Consultant-SAP SCM MM,10,-1,-2,-1,2,5,5,8,GLUT
